"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
7089,"0180-00006",6,"2016","2016-06-23 00:00:00",0.100000001490116,"KB EK",2,"N",0.200000002980232,1.79999995231628,76,""
7090,"0180-00008",8,"2016","2016-06-23 00:00:00",0.100000001490116,"AT KB EK",3,"N",0.100000001490116,1.20000004768372,20,"OFF PLOT WITNESS WF DBH 26.6 AZ 115 D 38.4; BMS0"
7091,"0180-00010",10,"2016","2016-06-23 00:00:00",0.100000001490116,"AT KB EK",3,"N",0.200000002980232,0.699999988079071,52,"BMS-0"
7092,"0180-00013",13,"2016","2016-06-27 00:00:00",0.100000001490116,"BC EK",2,"N",0.150000005960464,0.5,64,"""OFF PLOT WITNESS 27.6"""" DF AZ10 D40.4 AND 24.4"""" PP AZ148 D41.7; BMS-0"""
7093,"0180-00018",18,"2016","2016-06-27 00:00:00",0.100000001490116,"AB ZM",2,"N",0.100000001490116,1,32,"BMS 0"
7094,"0180-00023",23,"2016","2016-06-24 00:00:00",0.100000001490116,"KB EK IM",3,"N",0.200000002980232,1.20000004768372,24,"BMS 10"
7095,"0180-00101",101,"2016","2016-06-27 00:00:00",0.100000001490116,"ZM AB",2,"N",0.100000001490116,1,56,"BMS 0"
7096,"0180-00102",102,"2016","2016-06-27 00:00:00",0.100000001490116,"AB ZM",2,"N",0.0500000007450581,1.10000002384186,80,"BMS 0"
7097,"0180-00106",106,"2016","2016-06-24 00:00:00",0.100000001490116,"KB EK IM",3,"N",0.100000001490116,0.899999976158142,24,"BMS-0"
7098,"0180-00107",107,"2016","2016-06-27 00:00:00",0.100000001490116,"2",-8,"N",0.100000001490116,1,60,"BMS 2"
7099,"0180-00108",108,"2016","2016-06-23 00:00:00",0.100000001490116,"AT KB EK",3,"N",0.100000001490116,0.75,60,"BMS-0"
7100,"0180-00109",109,"2016","2016-06-23 00:00:00",0.100000001490116,"HH IM",2,"N",0.150000005960464,2,36,"BMS-0"
