"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
6761,"0220-00012","2014-06-23 00:00:00",274,"D",4
6761,"0220-00012","2014-06-23 00:00:00",274,"C",5
6761,"0220-00012","2014-06-23 00:00:00",274,"C",4
6762,"0220-00013","2014-06-24 00:00:00",194,"B",13
6762,"0220-00013","2014-06-24 00:00:00",194,"A",11
6764,"0220-00015","2014-06-24 00:00:00",30,"B",18
6764,"0220-00015","2014-06-24 00:00:00",30,"C",5
6764,"0220-00015","2014-06-24 00:00:00",90,"B",17
6766,"0220-00017","2014-06-24 00:00:00",42,"A",6
6766,"0220-00017","2014-06-24 00:00:00",42,"A",7
6766,"0220-00017","2014-06-24 00:00:00",42,"C",4
6768,"0220-00019","2014-06-24 00:00:00",150,"C",6
6768,"0220-00019","2014-06-24 00:00:00",150,"B",5
6768,"0220-00019","2014-06-24 00:00:00",150,"B",4
6768,"0220-00019","2014-06-24 00:00:00",150,"B",4
6769,"0220-00020","2014-06-24 00:00:00",36,"C",10
6769,"0220-00020","2014-06-24 00:00:00",36,"C",3
6769,"0220-00020","2014-06-24 00:00:00",36,"B",8
6769,"0220-00020","2014-06-24 00:00:00",36,"C",6
6769,"0220-00020","2014-06-24 00:00:00",36,"C",6
6769,"0220-00020","2014-06-24 00:00:00",36,"B",7
6769,"0220-00020","2014-06-24 00:00:00",36,"C",10
6769,"0220-00020","2014-06-24 00:00:00",96,"B",6
6769,"0220-00020","2014-06-24 00:00:00",96,"B",4
6769,"0220-00020","2014-06-24 00:00:00",96,"B",3
6769,"0220-00020","2014-06-24 00:00:00",96,"B",4
6769,"0220-00020","2014-06-24 00:00:00",96,"B",4
6770,"0220-00001","2014-06-23 00:00:00",3,"B",6
